Event,Time,Flow_Time
Ignition,0:05:07,
BR1 Window Narrow Fog,0:10:33,326.0
Front Door Open,0:10:48,
Suppression Crew Enters,0:10:57,
Hall Suppression ,0:11:08,359.4
End Experiment,0:17:12,
