Event,Time,Flow_Time
Ignition,0:02:08,
BR1 Window Solid Stream,0:08:58,410.1
Front Door Open,0:09:32,
Suppression Crew Enters,0:09:42,
Room Suppression,0:10:42,512.1
End Experiment,0:14:14,
