Event,Old Time,Time,Flow_Time
Ignition,0:02:10,0:02:10,
Front Door Open,0:08:30,0:08:30,
Suppression Crew Enters,0:08:42,0:08:42,
Burst Suppression,0:08:48,0:08:46,397.1
Hall Suppression,0:08:59,0:08:57,407.4
End Experiment,0:14:34,0:12:30,
