Event,Time,Flow_Time
Ignition,0:02:05,
Front Door Open,0:07:44,
Suppression Crew Enters,0:07:57,
Burst Suppression,0:08:02,358.0
Hall Suppression,0:08:16,372.4
End Experiment,0:14:11,
