Event,Time,Flow_Time
Ignition,0:05:03,
Front Door Open,0:13:01,
Suppression Crew Enters,0:13:16,
Burst Suppression,0:13:21,498.0
Hall Suppression,0:13:30,507.5
End Experiment,0:19:41,
