Location,Experiment_13_Data,Experiment_14_Data,Experiment_15_Data,Experiment_16_Data,Experiment_17_Data,Experiment_22_Data,Experiment_23_Data,Experiment_24_Data,Type
Bedroom_1_Temps,1042.9435483870966,1409.8725806451616,1177.9850000000001,1391.249677419355,1367.253125,1536.3201612903224,1236.4562499999997,1633.5623387096773,Temperature
Bedroom_2_Temps,1340.9924193548388,1387.2975806451616,1409.645833333333,1491.7636290322596,1345.8687499999999,1520.3548387096776,1358.7296875,1519.380403225807,Temperature
Bedroom_3_Temps,83.79258064516134,80.74032258064516,78.2225,78.90096774193539,79.62656249999999,86.08387096774193,68.3953125,83.62830645161287,Temperature
Bedroom_4_Temps,241.8166129032256,283.1072580645161,244.10166666666666,258.2145161290322,245.99374999999998,293.1854838709678,243.86874999999998,244.93854838709677,Temperature
End_Hall_Temps,622.8118894009215,721.7036866359449,667.9880952380952,880.4119815668207,642.9151785714287,950.2198156682025,656.5955357142857,759.0514746543782,Temperature
Living_Room_Left_Temps,239.20497695852526,280.72764976958524,246.18809523809526,258.69631336405536,249.20267857142858,297.2788018433179,250.73749999999998,242.31635944700457,Temperature
Living_Room_Right_Temps,279.08497695852503,331.931797235023,278.164761904762,291.67423963133655,281.9714285714286,337.5147465437788,282.90714285714284,284.8811520737328,Temperature
Middle_Hall_Temps,417.8052073732719,471.9414746543779,421.4623809523809,443.51534562211987,428.41785714285714,499.45668202764983,432.61249999999995,436.97539170506906,Temperature
Start_Hall_Temps,360.7152073732716,428.94009216589853,373.88142857142867,399.3409216589859,376.4303571428572,442.60184331797234,393.3866071428571,386.62834101382515,Temperature
Victim_1_Temps,982.2788709677421,701.8072580645162,853.9383333333333,1065.6001612903235,831.6234375,1128.6733870967744,920.3062500000001,1052.0724193548385,Temperature
Victim_2_Temps,90.37048387096773,82.63951612903226,79.61166666666665,84.25008064516125,82.35468750000001,93.05645161290325,72.1796875,92.55500000000005,Temperature
Victim_3_Temps,259.0640322580645,315.5266129032259,262.43916666666667,298.82887096774186,279.996875,304.23870967741937,264.71562500000005,283.0041935483871,Temperature
Victim_4_Temps,274.38491935483876,316.20403225806456,275.8275,305.6598387096772,293.31249999999994,345.78629032258067,292.9390625,282.7727419354843,Temperature
Victim_5_Temps,231.8083064516128,279.95241935483875,240.75583333333333,252.1854838709677,249.50625,282.80322580645156,249.525,218.82112903225809,Temperature
