Location,Experiment_10_Data,Experiment_11_Data,Experiment_12_Data,Experiment_18_Data,Experiment_19_Data,Experiment_20_Data,Experiment_21_Data,Experiment_7_Data,Experiment_8_Data,Experiment_9_Data,Type
Bedroom_1_Temps,1705.8693548387096,1652.7459677419351,,1602.6421875,1529.3427419354837,1595.0177419354839,1541.975,1608.1572580645159,1432.5451612903223,1525.650806451613,Temperature
Bedroom_2_Temps,201.08225806451608,242.47096774193545,,245.290625,214.94516129032255,245.90080645161288,176.3330645161291,237.47338709677413,191.3887096774194,194.37016129032256,Temperature
Bedroom_3_Temps,74.85161290322581,74.93387096774192,,81.9171875,69.3508064516129,117.08951612903225,71.73225806451612,86.52661290322578,76.71532258064516,71.28387096774193,Temperature
Bedroom_4_Temps,155.84274193548387,188.56129032258065,,185.853125,159.44596774193545,180.23145161290324,155.55322580645162,178.73870967741934,144.47580645161293,145.12822580645164,Temperature
End_Hall_Temps,739.6668202764978,826.076958525346,,910.7008928571429,603.3313364055299,838.5041474654377,559.6847926267283,776.9506912442399,545.8576036866359,526.9456221198157,Temperature
Living_Room_Left_Temps,158.42718894009218,193.9576036866359,,186.06607142857146,167.50783410138249,190.53686635944703,163.46497695852528,182.50138248847924,157.0926267281106,153.73456221198157,Temperature
Living_Room_Right_Temps,192.18018433179716,219.39677419354837,,214.7169642857143,198.79124423963137,215.089400921659,193.9304147465438,220.19170506912442,174.63225806451615,184.18018433179722,Temperature
Middle_Hall_Temps,317.69354838709677,337.97788018433175,,399.2830357142857,287.3824884792627,332.4820276497696,269.82258064516134,330.75437788018434,264.1483870967742,257.74377880184323,Temperature
Start_Hall_Temps,262.3995391705069,295.54746543778805,,326.26964285714286,254.8202764976959,287.6064516129032,243.8009216589862,283.04423963133644,234.46036866359455,238.29999999999998,Temperature
Victim_1_Temps,478.17177419354834,501.25483870967736,,573.1390625,433.916129032258,455.53145161290337,370.1653225806452,537.3693548387097,333.9129032258065,401.0145161290323,Temperature
Victim_2_Temps,78.22338709677418,76.19274193548388,,84.11093749999999,71.66048387096777,138.2225806451613,75.44838709677418,96.29354838709682,78.78951612903225,75.58145161290324,Temperature
Victim_3_Temps,195.38790322580644,225.26048387096776,,231.22656249999997,168.4798387096774,209.94677419354838,183.4580645161291,193.30806451612904,168.9983870967742,175.63306451612897,Temperature
Victim_4_Temps,188.08629032258062,224.49435483870974,,235.2875,204.08951612903223,220.9435483870968,188.76854838709673,220.47741935483876,173.0983870967742,179.76129032258066,Temperature
Victim_5_Temps,161.55967741935484,194.50887096774198,,197.04687500000003,170.7282258064516,189.15564516129035,166.01612903225808,186.4306451612903,155.57016129032257,,Temperature
