Channel,Offset,Zero,Group
BDP11V,,,BDP1
BDP12V,,,BDP1
BDP13V,,,BDP1
BDP14V,,,BDP1
BDP15V,,,BDP1
BDP21V,,,BDP2
BDP22V,,,BDP2
BDP23V,,,BDP2
BDP24V,,,BDP2
BDP25V,,,BDP2
BDP31V,,,BDP3
BDP32V,,,BDP3
BDP33V,,,BDP3
BDP34V,,,BDP3
BDP35V,,,BDP3
BDP41V,,,BDP4
BDP42V,,,BDP4
BDP43V,,,BDP4
BDP44V,,,BDP4
BDP45V,,,BDP4
PT11V,,,PT1
PT14V,,,PT1
PT17V,,,PT1
PT21V,,,PT2
PT24V,,,PT2
PT27V,,,PT2
