Time,Elapsed Time,1TC1,1TC2,1TC3,1TC4,1TC5,1TC6,1TC7,2TC1,2TC2,2TC3,2TC4,2TC5,2TC6,2TC7,3TC1,3TC2,3TC3,3TC4,3TC5,3TC6,3TC7,4TC1,4TC2,4TC4,4TC5,4TC6,4TC7,4TC3,BDP11T,BDP12T,BDP13T,BDP14T,BDP15T,BDP21T,BDP22T,BDP23T,BDP24T,BDP25T,BDP31T,BDP32T,BDP33T,BDP34T,BDP35T,BDP41T,BDP42T,BDP43T,BDP44T,BDP45T,BDP11V,BDP12V,BDP13V,BDP14V,BDP15V,BDP21V,BDP22V,BDP23V,BDP24V,BDP25V,BDP31V,BDP32V,BDP33V,BDP34V,BDP35V,BDP41V,BDP42V,BDP43V,BDP44V,BDP45V,PT11V,PT14V,PT17V,PT21V,PT24V,PT27V,BDP11Flow,BDP12Flow,BDP13Flow,BDP14Flow,BDP15Flow,Total1BDPFlow,BDP21Flow,BDP22Flow,BDP23Flow,BDP24Flow,BDP25Flow,TotalBDP2Flow,BDP31Flow,BDP32Flow,BDP33Flow,BDP34Flow,BDP35Flow,Total3BDPFlow,BDP41Flow,BDP42Flow,BDP43Flow,BDP44Flow,BDP45Flow,Total4BDPFlow,PT11,PT14,PT17,PT21,PT24,PT27
2017-04-10 14:09:00,00:00:00,1259.866326,1260.744683,1260.041945,1261.096475,1260.39329,1260.173647,1260.525106,1260.876662,1260.085835,1260.832749,1260.876442,1260.481133,1260.129772,1259.734681,1259.734631,1259.910237,1260.832644,1260.261474,1259.55899,1260.788636,1260.876497,1260.30545,1259.822463,1258.637732,1259.778496,1260.568801,1259.778537,1260.129739,20.73722617,21.12450815,22.2804447,20.91010941,20.97801755,19.88149796,19.79515646,19.72434264,20.55552748,20.09893491,18.72493031,19.95757892,20.33470657,20.55412295,20.66921053,21.54264771,21.80601924,22.00675488,22.18186691,22.4615515,2.575969638,2.452631389,2.498719945,2.631405028,2.579976169,2.509320518,2.59905019,2.665579605,2.502768994,2.521484268,2.464509016,2.482245983,2.495419825,2.463254469,2.468161009,2.529280742,2.50233635,2.44763008,2.535698728,2.569953441,2.475217277,3.945401434,2.193680511,2.494752682,2.5119629,2.601797352,-501.5212875,-396.0177656,-65.10040443,659.5919308,-514.5761361,-817.6236629,-175.6666713,-572.6601992,740.4108318,-95.74813266,266.7040589,163.0398876,342.790174,242.4474695,123.1431846,348.7960868,324.6751082,1381.852023,-311.3582546,-87.95050494,-416.399595,-343.7919579,481.2534802,-678.2468323,-1.249427429,71.98044545,-15.27277374,-0.276368915,0.580872057,5.055526092
2017-04-10 14:09:01,00:00:01,1259.866326,1260.744683,1260.041945,1261.096475,1260.39329,1260.173647,1260.525106,1260.876662,1260.085835,1260.832749,1260.876442,1260.481133,1260.129772,1259.734681,1259.734631,1259.910237,1260.832644,1260.261474,1259.55899,1260.788636,1260.876497,1260.30545,1259.822463,1258.637732,1259.778496,1260.568801,1259.778537,1260.129739,20.28164251,20.82108634,22.2804447,20.64447945,20.82628794,19.76760387,19.83313098,19.64838075,20.40375256,20.17483491,18.72493031,19.95757892,20.52445108,20.47824497,20.74508564,21.50472977,21.88183864,22.15834767,22.21975878,22.38578032,2.660368545,2.407000123,2.625852475,2.757633674,2.592032025,2.508252128,2.586535343,2.662069343,2.486746138,2.489891911,2.459167188,2.476751274,2.492214728,2.45547121,2.463277166,2.530349133,2.526146758,2.43771024,2.53371476,2.498837483,2.476132976,3.940823476,2.186050401,2.480408075,2.493496736,2.57997268,728.6667235,-554.8946401,645.50591,923.5717832,-551.9996883,1190.850088,-165.2921801,-535.2616193,732.5204919,-209.4790321,-182.9379786,-360.4503181,367.6833717,277.4399033,160.5484941,-383.9633652,-348.6883507,73.02005313,-316.9877558,-294.2241163,-454.1273656,-334.1022329,-62.0396013,-1461.481072,-1.20381646,71.75241733,-15.65282952,-0.990873766,-0.33892759,3.96843918
2017-04-10 14:09:02,00:00:02,1259.866326,1260.744683,1260.041945,1261.096475,1260.39329,1260.173647,1260.525106,1260.876662,1260.085835,1260.832749,1260.876442,1260.481133,1260.129772,1259.734681,1259.734631,1259.910237,1260.832644,1260.261474,1259.55899,1260.788636,1260.876497,1260.30545,1259.822463,1258.637732,1259.778496,1260.568801,1259.778537,1260.129739,20.73722617,21.08658476,22.2804447,20.8342213,20.71247777,19.42585678,19.37735751,19.23050484,20.47964247,19.90916371,18.83896857,19.88165794,20.22084521,20.55412295,20.74508564,21.42889013,21.84392957,21.9309509,22.06818368,22.12054117,2.635033611,2.466671778,2.502535447,2.516013424,2.386929865,2.516493998,2.59889757,2.677941831,2.497733239,2.504238199,2.466798371,2.479040736,2.497251309,2.4695116,2.466634808,2.532485914,2.537441439,2.458312985,2.571715379,2.481592626,2.460566092,3.931667559,2.16789074,2.523899702,2.537296646,2.631863508,668.6368118,332.181479,-91.62133284,230.2562591,-611.8476532,527.605564,233.6857971,-572.2188414,767.5529957,-86.63077578,-118.4568007,223.9323748,331.5500067,263.4252229,95.3964714,317.7142272,332.3656697,1340.451598,-327.9569889,-352.0834463,-371.509345,487.2765281,-246.8682608,-811.1415128,-1.979202934,71.2963611,-16.55736225,1.175444133,1.842745953,6.553121349
2017-04-10 14:09:03,00:00:03,1259.866326,1260.744683,1260.041945,1261.096475,1260.39329,1260.173647,1260.525106,1260.876662,1260.085835,1260.832749,1260.876442,1260.481133,1260.129772,1259.734681,1259.734631,1259.910237,1260.832644,1260.261474,1259.55899,1260.788636,1260.876497,1260.30545,1259.822463,1258.637732,1259.778496,1260.568801,1259.778537,1260.129739,20.66130784,20.97280715,22.35624427,20.87216597,20.86422219,19.99538118,19.71920381,19.72434264,20.40375256,20.06098309,18.83896857,20.03349506,20.25880022,20.66793074,20.63127112,21.39096844,21.76810765,21.85514188,22.29553873,22.42366654,2.692113522,2.495515622,2.509861211,2.499834178,2.481392839,2.544882665,2.610191456,2.696561482,2.519402243,2.533693875,2.477024156,2.491709094,2.514955654,2.473632149,2.494259043,2.539812022,2.53026779,2.444577821,2.556301473,2.47365694,2.461634408,3.933651341,2.15263052,2.525120519,2.547063874,2.636594731,797.5323531,121.8485776,-180.6901456,23.43097864,-248.2043568,513.917407,385.4860455,-604.0088535,806.7120638,-253.4517616,333.9987353,668.7362295,275.8068698,165.6800967,222.5215327,295.4654565,137.8673706,1097.341326,-363.0583753,-316.5626699,-428.3621995,-431.7468948,-295.3265236,-1835.056663,-1.925990137,71.39517328,-17.3174738,1.236253057,2.329251552,6.788783547
2017-04-10 14:09:04,00:00:04,1259.866326,1260.744683,1260.041945,1261.096475,1260.39329,1260.173647,1260.525106,1260.876662,1260.085835,1260.832749,1260.876442,1260.481133,1260.129772,1259.734681,1259.734631,1259.910237,1260.832644,1260.261474,1259.55899,1260.788636,1260.876497,1260.30545,1259.822463,1258.637732,1259.778496,1260.568801,1259.778537,1260.129739,20.85109442,21.04866013,22.62150267,21.13774401,21.12972735,20.18516234,20.21280968,20.18001261,20.51758559,20.17483491,18.99100315,19.91961903,20.25880022,20.59206011,20.7071487,21.39096844,21.7301948,21.85514188,22.10607935,22.19633012,2.709359591,2.510166463,2.533364704,2.537534874,2.538009581,2.617838486,2.667118748,2.763409078,2.619659537,2.639612213,2.494881124,2.50407219,2.53937544,2.515295478,2.512268213,2.541643549,2.525841496,2.475100407,2.566679152,2.505704904,2.464686738,3.922816839,2.154919553,2.544043192,2.56095165,2.650635779,832.5604456,183.4654465,332.3632372,352.5224855,-354.7446751,1346.16694,624.6157333,743.8441113,933.8663191,629.4235691,679.8780947,3611.627828,130.1837049,116.1136752,361.0622219,225.0354157,201.539415,1033.934433,-371.3156113,-292.5015505,-287.1213361,469.8555686,-137.4337846,-618.5167139,-1.773953573,70.85550673,-17.20345706,2.178791371,3.0210017,7.488168134
2017-04-10 14:09:05,00:00:05,1259.866326,1260.744683,1260.041945,1261.096475,1260.39329,1260.173647,1260.525106,1260.876662,1260.085835,1260.832749,1260.876442,1260.481133,1260.129772,1259.734681,1259.734631,1259.910237,1260.832644,1260.261474,1259.55899,1260.788636,1260.876497,1260.30545,1259.822463,1258.637732,1259.778496,1260.568801,1259.778537,1260.129739,20.96495155,21.1624303,22.39414215,21.17567876,20.940087,19.91946024,20.21280968,19.95219939,20.44169813,20.44044657,19.02900885,20.14736019,20.56239631,20.66793074,20.66921053,21.3530455,21.84392957,21.9309509,22.18186691,22.15843628,2.719585137,2.516881432,2.524665359,2.483502298,2.475746425,2.541066984,2.619806522,2.690456678,2.565029231,2.686924439,2.490912909,2.510330054,2.546090881,2.511785381,2.509215811,2.62894633,2.514241554,2.459381275,2.544092439,2.516845386,2.469265233,3.920985655,2.139659333,2.546484827,2.555457585,2.657351062,852.6500334,236.4144301,285.7676505,-233.7120344,-283.3721865,857.7478932,368.7361762,-629.81003,794.085829,464.006058,786.6877472,1783.70578,173.4529837,184.9356482,390.6401213,197.5336792,174.6771616,1121.239594,653.3920346,-217.1441019,-366.7182167,-382.0774479,-236.161899,-548.7096309,-1.545898728,70.76429549,-17.96356861,2.300409218,2.747342301,7.822656415
2017-04-10 14:09:06,00:00:06,1259.866326,1260.744683,1260.041945,1261.096475,1260.39329,1260.173647,1260.525106,1260.876662,1260.085835,1260.832749,1260.876442,1260.481133,1260.129772,1259.734681,1259.734631,1259.910237,1260.832644,1260.261474,1259.55899,1260.788636,1260.876497,1260.30545,1259.822463,1258.637732,1259.778496,1260.568801,1259.778537,1260.129739,20.88904804,21.12450815,22.43203876,21.13774401,21.01594686,19.95742132,20.06095274,19.83827644,20.47964247,20.32662032,18.91498821,20.03349506,20.25880022,20.74379645,20.74508564,21.42889013,21.65436534,21.89304702,22.14397376,22.19633012,2.795589939,2.533668854,2.516729115,2.52456095,2.510540542,2.592044482,2.610344076,2.687556897,2.531457534,2.555671167,2.499765082,2.518266856,2.544106773,2.519110801,2.535924326,2.710601903,2.827897885,2.461060018,2.6014749,2.565069941,2.47903269,3.930751967,2.134165654,2.528172563,2.543859002,2.624079884,989.2684685,333.8746988,235.3454589,285.1621794,-186.8102973,1656.840508,552.0370448,-604.4269984,788.0174998,322.7243101,429.323346,1487.675202,27.88867009,245.9241897,382.1395479,251.5410054,344.8765428,1252.369956,835.0269431,1041.930259,-359.0601583,579.6270692,464.1512784,2561.675392,-1.059381725,71.25075547,-18.23720876,1.388275366,2.169616902,6.165419024
2017-04-10 14:09:07,00:00:07,1259.866326,1260.744683,1260.041945,1261.096475,1260.39329,1260.173647,1260.525106,1260.876662,1260.085835,1260.832749,1260.876442,1260.481133,1260.129772,1259.734681,1259.734631,1259.910237,1260.832644,1260.261474,1259.55899,1260.788636,1260.876497,1260.30545,1259.822463,1258.637732,1259.778496,1260.568801,1259.778537,1260.129739,20.62334683,20.8590184,22.62150267,21.06187077,20.90215521,19.84353447,19.9470473,19.80029971,20.47964247,20.32662032,18.91498821,20.10940636,20.48650463,20.66793074,20.82095583,21.46681057,21.7301948,21.9309509,22.21975878,22.19633012,2.734236665,2.539162919,2.541758808,2.561040571,2.55357537,2.600591608,2.635831631,2.694730041,2.543818022,2.52438405,2.509075125,2.530782583,2.550822214,2.53101461,2.547828692,2.841250821,2.59376221,2.754076841,2.753324764,2.54187332,2.492005093,3.939450088,2.142558775,2.454007895,2.553321004,2.638884032,880.6367013,360.0865268,371.8291143,449.5506568,-421.1646704,1640.938329,577.0988613,670.609652,802.945041,380.8866309,284.1333821,2715.673567,173.3387464,319.2433616,410.2004515,320.4442653,397.9363359,1621.163161,1062.933746,557.1642745,917.1743133,915.815873,-372.3385828,3080.749624,-0.41322633,71.6840089,-17.81914742,-2.305866737,2.640919201,6.902813643
2017-04-10 14:09:08,00:00:08,1259.866326,1260.744683,1260.041945,1261.096475,1260.39329,1260.173647,1260.525106,1260.876662,1260.085835,1260.832749,1260.876442,1260.481133,1260.129772,1259.734681,1259.734631,1259.910237,1260.832644,1260.261474,1259.55899,1260.788636,1260.876497,1260.30545,1259.822463,1258.637732,1259.778496,1260.568801,1259.778537,1260.129739,20.31961455,20.70728278,22.2804447,20.7962754,20.82628794,19.72963677,19.8711043,19.72434264,20.70728278,20.25073005,18.99100315,19.99553759,20.37265792,20.81965724,20.89682108,21.50472977,21.6922807,21.89304702,22.21975878,22.42366654,2.729352822,2.550456276,2.588307934,2.581951483,2.576161025,2.608375597,2.655824861,2.682825674,2.497885838,2.529420513,2.510601362,2.520556319,2.524418321,2.583971296,2.534703365,3.03203487,2.866666113,2.635954434,2.846571264,2.543704632,2.481932403,3.929378579,2.11722681,2.518863829,2.544164228,2.666813508,871.4076885,408.7209883,540.7159809,520.8920775,-502.1526192,1839.584116,599.0114087,718.2699836,778.0149364,-83.66397745,312.1004968,2323.732848,187.3484774,260.880737,284.3329818,527.272075,338.9652191,1598.79949,1327.209225,1101.804978,670.9127278,1071.1878,-380.3934921,3790.721239,-0.91494699,71.18234704,-19.08093258,0.924607324,2.184820202,8.29398081
2017-04-10 14:09:09,00:00:09,1259.866326,1260.744683,1260.041945,1261.096475,1260.39329,1260.173647,1260.525106,1260.876662,1260.085835,1260.832749,1260.876442,1260.481133,1260.129772,1259.734681,1259.734631,1259.910237,1260.832644,1260.261474,1259.55899,1260.788636,1260.876497,1260.30545,1259.822463,1258.637732,1259.778496,1260.568801,1259.778537,1260.129739,20.4714905,20.8590184,21.97719567,20.91010941,21.01594686,19.76760387,19.83313098,19.80029971,20.63140759,20.28867579,18.99100315,20.14736019,20.37265792,20.78172746,20.93475185,21.31512131,21.65436534,21.74141889,22.03028674,22.15843628,2.751177494,2.515050077,2.535043525,2.552187776,2.576618842,2.601049489,2.641020713,2.739752965,2.49208709,2.501185797,2.517011555,2.514603717,2.515413525,2.622582367,2.535771706,2.669697803,2.763335049,2.575214488,2.80887587,2.801309217,2.485747816,3.933498742,2.105323839,2.555488356,2.552557939,2.661166564,911.9262243,223.2228752,340.6224232,415.6748393,-503.6596218,1387.78674,578.4108146,683.2990179,890.9459064,-161.8592237,-62.65770985,1928.138805,237.3238338,219.8877534,225.9021288,637.0644113,344.1431803,1664.321308,749.5618126,933.7350818,499.0224632,1011.256518,998.7931417,4192.369018,-0.724901285,71.38757234,-19.67381958,2.748875029,2.602910951,8.012706574
