ULVersion=1,Company=UL,Project=12345,File=12345,Engineer=39605,Reviewer=39605,Technician=20137,Technician2=34344,TestLocation=Bld11-Calorimeter,TestType=Heat Release Check,TestNumber=1,Sample=Couch,CommodityDesC=Couch,GenProjectDesc=UL2901 research,SpkActivationTempDegF=165,SpkRTI=275,NumberOfTiers=2,SpkRadial DistanceFeet=7.1,SpkRDD=0.11,SpkDistanceBelowCeililngInch=3,CeilingToCommodityFeet=18,StorageType=,PalletType=,IgniterType=Electronic Match,IgniterNumber=0,Client Witnessed=No,HRRflag=True,RDDflag=False,IRIflag=False,ULtest=Yes,CCN=NA,TestFacilityLocation=NBK,TESTDATE=11/14/16,TestCode=11141601.DAT,DuctDiameter= 60 ,HRRA= 1.105 ,HRRB= 1.5 ,HRRE= 13100 ,HRRCFACTOR= 1 ,HRRO2DELAY= 15 ,HRRDUCTAREA= 1.824145 ,HRRC0C02DELAY= 30 ,HRRCOCO2Units=%,TestStartTime=11/14/2016 11:13:41,UserName=20137,ComputerName=NBKMJ00KM1J,EdgeSetupFile=Cal.SET,EdgeVersion=3.063c (NetDaq /MegaDaq)-Win7~Date:2013-06-13,RunTimeInitialO2=0.2094488,RunTimeO2CorrectionFactor=1.000244,RunTimeMaxHRRvel=12.95,RunTimeMaxHRRtemp=319,RunTimeHRRMax=1080.1,RunTimeMaxHRRTestTime=1770.987,PostTestInitialAverageO2=20.94488,PreTestO2AvgStandardDeviation=N/A,HrrPeak=1080,HrrTotal=1291,HRRavgOneMinute=930,HRRavgFiveMinute=863,HRRavgTenMinute=762,ConvHrrPeak=788,ConvHrrTotal=913,ConvHRRavgOneMinute=677,ConvHRRavgFiveMinute=643,ConvHRRavgTenMinute=578,ConvectiveEnergy=347
Time,Time,CO,CO2,Channel 3,Oxygen%,Cold Trap,Smoke System,Duct Temp.,Duct Pressure,Outside Steel Duct Temp,SE Outside grid,SE Inside grid,NE Outside grid,NE Inside grid,SW Outside grid,SW Inside grid,NW Outside grid,NW Inside grid,Center of grid,Test Time,Duct Temperature,Velocity,Convective HRR,Link Temperature,Estimated HRR,Run Time Peak HRR,Corrected Oxygen,Corrected Oxygen,Heat Release Rate,Cumulative Heat Rate
Hr:min:sec,Sec,%,%,V,%,Celsius,mV,Celsius,V,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Seconds,K,m/sec,kW,F,kW,kW,mole fraction,mole fraction,kW,MJ
CHANNEL,0, 1 , 2 , 3 , 4 , 5 , 6 , 8 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 ,-76 ,-1 ,-2 ,-20 ,-42 ,-38 ,-39 ,-6,-6,-7,-8
FORMAT,#.0,#0.000,#0.000,#0.000,#0.000,#0.0,#0.00,#0,#0.000,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#,#.00,#0,#0,#0.0,#0.0,#0.0000,#0.0000,#0,#0.0
-00:00:30,-30, 4.171186E-06 , 0.0199339 ,-0.1249101 , 20.94524 , 6.004049 , 4.987154E-03 , 17.1428 , 0.1388464 , 41.43493 , 17.1089 , 16.87597 , 16.07743 , 16.16339 , 17.05233 , 16.38745 , 16.55929 , 16.69055 , 16.20654 ,-30 , 290.2928 , 7.218991 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:29,-29.004, 4.189321E-05 , 1.987233E-02 ,-7.308751E-02 , 20.94549 , 6.043266 , 4.720481E-03 , 17.16791 , 0.1363779 , 41.40861 , 17.10692 , 16.85593 , 16.11621 , 16.17726 , 17.08204 , 16.39911 , 16.55067 , 16.70663 , 16.22263 ,-29.004 , 290.3179 , 7.154841 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:28,-28.005,-1.154632E-05 , 2.002703E-02 ,-8.185202E-02 , 20.94584 , 5.984147 , 4.898264E-03 , 17.13439 , 0.1401025 , 41.49313 , 17.08464 , 16.79973 , 16.1415 , 16.15496 , 17.03931 , 16.44006 , 16.57576 , 16.65724 , 16.22744 ,-28.005 , 290.2844 , 7.251465 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:27,-27.007, 4.412993E-06 , 1.984077E-02 ,-0.1022561 , 20.94529 , 6.021469 , 3.816757E-03 , 17.1847 , 0.1379311 , 41.44944 , 17.0559 , 16.76417 , 16.11956 , 16.23262 , 16.9903 , 16.42274 , 16.58776 , 16.6285 , 16.17618 ,-27.007 , 290.3347 , 7.195677 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:26,-26.009,-7.435591E-06 , 1.982024E-02 ,-4.337327E-02 , 20.94553 , 6.017124 , 5.261235E-03 , 17.16456 , 0.1377939 , 41.46275 , 17.03116 , 16.7396 , 16.17632 , 16.22611 , 16.98822 , 16.43873 , 16.56982 , 16.69886 , 16.19882 ,-26.009 , 290.3146 , 7.191846 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:25,-25.01,-1.831694E-05 , 1.967186E-02 ,-9.851339E-02 , 20.94509 , 6.02032 , 4.298249E-03 , 17.14285 , 0.1362776 , 41.53248 , 17.05256 , 16.74276 , 16.12525 , 16.23831 , 16.99378 , 16.45092 , 16.5798 , 16.68856 , 16.21119 ,-25.01 , 290.2928 , 7.1519 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:24,-24.012,-2.363672E-05 , 1.961662E-02 ,-0.0341746 , 20.94536 , 5.999745 , 2.713027E-03 , 17.06596 , 0.1428993 , 41.47699 , 16.9869 , 16.68611 , 16.04588 , 16.19307 , 16.91006 , 16.3513 , 16.47576 , 16.66123 , 16.13644 ,-24.012 , 290.2159 , 7.322625 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:23,-22.998, 1.601977E-05 , 1.981867E-02 ,-5.536811E-02 , 20.94648 , 5.97434 , 3.350079E-03 , 17.13373 , 0.1302745 , 41.46793 , 17.00493 , 16.6929 , 16.07979 , 16.18603 , 16.89639 , 16.34223 , 16.52993 , 16.66801 , 16.14988 ,-22.998 , 290.2837 , 6.992492 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:22,-21.999, 1.771243E-05 , 2.021645E-02 ,-6.725881E-02 , 20.94563 , 6.004352 , 4.490847E-03 , 17.09778 , 0.133811 , 41.47729 , 16.96897 , 16.72698 , 16.03918 , 16.17955 , 16.88973 , 16.35364 , 16.50521 , 16.75408 , 16.12975 ,-21.999 , 290.2478 , 7.08633 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:21,-21.001, 5.863841E-06 , 2.027486E-02 ,-2.712081E-02 , 20.94555 , 6.013728 , 3.261188E-03 , 17.09119 , 0.125678 , 41.51075 , 16.9985 , 16.73846 , 16.07335 , 16.2115 , 16.88333 , 16.32013 , 16.50101 , 16.76573 , 16.12316 ,-21.001 , 290.2412 , 6.867523 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:20,-20.003,-3.572711E-05 , 1.934511E-02 ,-0.1325589 , 20.94488 , 6.007923 , 1.764857E-03 , 17.11254 , 0.1398032 , 41.47154 , 17.01083 , 16.73272 , 16.06983 , 16.20558 , 16.84571 , 16.31199 , 16.4702 , 16.80276 , 16.13309 ,-20.003 , 290.2625 , 7.243443 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:19,-19.004,-6.256779E-05 , 1.946034E-02 ,-5.400434E-02 , 20.94454 , 6.02725 , 3.801942E-03 , 17.13163 , 0.1324391 , 41.49693 , 17.08631 , 16.80822 , 16.11163 , 16.2767 , 16.88286 , 16.29255 , 16.55052 , 16.83771 , 16.13874 ,-19.004 , 290.2816 , 7.050323 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:18,-18.006,-1.057909E-05 , 1.993548E-02 ,-0.1029316 , 20.94534 , 6.021486 , 4.987154E-03 , 17.11231 , 0.1358932 , 41.49135 , 17.08522 , 16.83883 , 16.13083 , 16.28464 , 16.91348 , 16.33222 , 16.56067 , 16.81837 , 16.18044 ,-18.006 , 290.2623 , 7.141431 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:17,-17.007, 2.230677E-05 , 2.024802E-02 ,-8.178362E-02 , 20.94542 , 6.034692 , 3.89824E-03 , 17.1119 , 0.131047 , 41.47777 , 17.03948 , 16.79309 , 16.0465 , 16.23204 , 16.91288 , 16.25252 , 16.54884 , 16.73429 , 16.13485 ,-17.007 , 290.2619 , 7.012931 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:16,-16.009, 6.389772E-05 , 1.993705E-02 ,-4.108111E-02 , 20.94564 , 5.994299 , 3.357487E-03 , 17.09448 , 0.1499643 , 41.49176 , 17.08324 , 16.81879 , 16.04271 , 16.2668 , 16.89325 , 16.26219 , 16.52477 , 16.72608 , 16.13549 ,-16.009 , 290.2445 , 7.501826 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:15,-15.011,-5.289547E-05 , 1.977604E-02 ,-0.1066364 , 20.94515 , 5.982954 , 4.97234E-03 , 17.0654 , 0.1502794 , 41.50967 , 17.09249 , 16.82343 , 16.0634 , 16.22848 , 16.90489 , 16.23309 , 16.56334 , 16.69902 , 16.12888 ,-15.011 , 290.2154 , 7.509325 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:14,-13.997,-1.420621E-05 , 1.994968E-02 ,-2.865496E-02 , 20.94547 , 6.022737 , 3.994539E-03 , 17.06398 , 0.1620371 , 41.49509 , 17.0684 , 16.83325 , 16.02121 , 16.17504 , 16.8808 , 16.26098 , 16.5573 , 16.64339 , 16.10938 ,-13.997 , 290.214 , 7.797536 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:13,-13.014, 3.512259E-05 , 0.0200586 ,-6.160001E-02 , 20.94442 , 6.004977 , 3.305634E-03 , 17.06891 , 0.1617585 , 41.47573 , 17.07131 , 16.87228 , 16.03297 , 16.16209 , 16.89716 , 16.291 , 16.56924 , 16.61902 , 16.12133 ,-13.014 , 290.2189 , 7.790897 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:12,-12, 2.478531E-06 , 1.959609E-02 ,-6.640261E-02 , 20.94537 , 5.998515 , 1.987084E-03 , 17.06272 , 0.1703505 , 41.45395 , 17.08077 , 16.8659 , 16.02898 , 16.12619 , 16.83881 , 16.24165 , 16.54258 , 16.57429 , 16.10811 ,-12 , 290.2127 , 7.995046 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:11,-11.001, 3.077005E-05 , 0.0199339 ,-3.430917E-03 , 20.94506 , 5.991639 , 2.261165E-03 , 17.01059 , 0.2019251 , 41.46932 , 17.00838 , 16.88177 , 16.00411 , 16.09671 , 16.82077 , 16.2461 , 16.58777 , 16.56288 , 16.12843 ,-11.001 , 290.1606 , 8.70373 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:10,-10.003, 4.116779E-05 , 2.002071E-02 ,-7.928033E-02 , 20.94471 , 6.009251 , 2.898217E-03 , 17.04623 , 0.1903144 , 41.46001 , 17.08235 , 16.91503 , 16.01248 , 16.08258 , 16.83375 , 16.23419 , 16.60296 , 16.51927 , 16.14603 ,-10.003 , 290.1962 , 8.450312 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:09,-9.005,-6.46836E-06 , 1.986602E-02 ,-5.055526E-02 , 20.94452 , 5.977409 , 4.083429E-03 , 17.02362 , 0.194919 , 41.44688 , 17.07338 , 16.90384 , 15.981 , 16.07138 , 16.86311 , 16.18463 , 16.62127 , 16.48097 , 16.09628 ,-9.005 , 290.1736 , 8.551594 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:08,-8.006, 1.432712E-05 , 1.965292E-02 ,-3.789367E-02 , 20.94428 , 5.985045 , 3.024145E-03 , 17.00408 , 0.1964121 , 41.45174 , 16.99947 , 16.87066 , 15.97932 , 16.06086 , 16.84135 , 16.16489 , 16.60154 , 16.43413 , 16.10162 ,-8.006 , 290.1541 , 8.583997 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:07,-7.008, 2.90774E-05 , 1.990391E-02 ,-0.1003843 , 20.94379 , 6.017138 , 4.076022E-03 , 17.06747 , 0.2183058 , 41.50737 , 17.06526 , 16.85279 , 16.00442 , 16.10403 , 16.84136 , 16.18776 , 16.66054 , 16.40261 , 16.10163 ,-7.008 , 290.2175 , 9.050768 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:06,-6.009, 0.0000107 , 1.980288E-02 ,-4.284402E-02 , 20.94393 , 6.036228 , 4.735297E-03 , 17.07269 , 0.2048666 , 41.51699 , 17.00949 , 16.85579 , 16.02772 , 16.10704 , 16.93265 , 16.22471 , 16.65672 , 16.39658 , 16.09118 ,-6.009 , 290.2227 , 8.767834 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:05,-5.011,-2.847287E-05 , 1.985813E-02 ,-0.1147718 , 20.9428 , 5.991904 , 2.631544E-03 , 17.00643 , 0.2166887 , 41.47861 , 16.9635 , 16.78712 , 16.02687 , 16.08129 , 16.88204 , 16.16042 , 16.64463 , 16.32787 , 16.01341 ,-5.011 , 290.1564 , 9.016235 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:04,-3.997,-2.532937E-05 , 1.995442E-02 ,-7.088543E-02 , 20.94297 , 5.994075 , 3.357487E-03 , 17.00839 , 0.2024136 , 41.46735 , 16.92031 , 16.78926 , 16.02902 , 16.10815 , 16.90906 , 16.21679 , 16.63774 , 16.36616 , 15.99729 ,-3.997 , 290.1584 , 8.714218 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:03,-2.999,-5.071919E-05 , 1.957715E-02 ,-5.315673E-02 , 20.94286 , 5.959831 , 2.942662E-03 , 16.99944 , 0.2160753 , 41.48277 , 16.87744 , 16.70105 , 16.07669 , 16.054 , 16.90914 , 16.13553 , 16.64225 , 16.3596 , 16.0066 ,-2.999 , 290.1494 , 9.003357 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:02,-2, 8.523728E-06 , 1.979025E-02 ,-0.1144866 , 20.94254 , 6.04742 , 4.17232E-03 , 16.98885 , 0.2588744 , 41.52982 , 16.83054 , 16.74465 , 16.1633 , 16.11792 , 16.99327 , 16.17897 , 16.68806 , 16.39179 , 16.03658 ,-2 , 290.1389 , 9.854589 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
-00:00:01,-1.002,-2.00096E-05 , 0.0197571 ,-2.196577E-02 , 20.94275 , 6.012549 , 3.609344E-03 , 17.00176 , 0.3321412 , 41.52261 , 16.78927 , 16.71001 , 16.17161 , 16.09248 , 16.97007 , 16.16257 , 16.65582 , 16.37539 , 16.01335 ,-1.002 , 290.1518 , 11.16259 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
00:00:00,0,-4.491581E-05 , 1.990391E-02 ,-8.126224E-02 , 20.94204 , 5.969768 , 2.261165E-03 , 16.97535 , 0.2793373 , 41.45898 , 16.73336 , 16.69723 , 16.17911 , 16.08412 , 16.97074 , 16.17007 , 16.57962 , 16.37828 , 16.02749 ,-0.003 , 290.1253 , 10.23642 , 0 , 68 , 0 , 0 , 0.2095 , 0.2095 , 0 , 0 
00:00:01,0.995,-2.242768E-05 , 1.983761E-02 ,-6.420863E-02 , 20.94215 , 5.960761 , 3.446377E-03 , 16.97991 , 0.2569513 , 41.52773 , 16.70639 , 16.64538 , 16.26076 , 16.10915 , 17.01621 , 16.19068 , 16.591 , 16.35573 , 16.03445 , 0.995 , 290.1299 , 9.817767 , 0 , 68 , 0 , 0 , 0.2094884 , 0.2094884 , 0 , 0 
00:00:02,1.993,-1.874011E-06 , 1.997178E-02 ,-3.541325E-02 , 20.94425 , 6.028399 , 5.535316E-03 , 17.013 , 0.2696489 , 41.61126 , 16.80493 , 16.62631 , 16.26437 , 16.17381 , 17.06957 , 16.23726 , 16.59018 , 16.35713 , 16.072 , 1.993 , 290.163 , 10.05799 , 0.7018967 , 68.00179 , 0 , 0 , 0.2094889 , 0.2094889 , 0 , 0 
00:00:03,2.992,-1.874011E-06 , 1.985655E-02 ,-7.245842E-02 , 20.94503 , 6.031532 , 4.535292E-03 , 16.99803 , 0.2650096 , 41.54333 , 16.78775 , 16.58867 , 16.28093 , 16.22671 , 17.05221 , 16.2221 , 16.55014 , 16.34897 , 16.0502 , 2.992 , 290.148 , 9.970837 , 0.4819483 , 68.00284 , 0 , 0 , 0.2094943 , 0.2094943 , 0 , 0 
00:00:04,3.99,-2.798926E-05 , 1.937668E-02 ,-4.006359E-02 , 20.94554 , 6.012872 , 3.646383E-03 , 17.01793 , 0.2937908 , 41.59388 , 16.71715 , 16.48652 , 16.33274 , 16.16307 , 17.01332 , 16.18557 , 16.47528 , 16.31227 , 16.05664 , 3.99 , 290.1679 , 10.49868 , 0 , 68.00284 , 0 , 0 , 0.2094832 , 0.2094832 , 0 , 0 
00:00:05,4.989,-1.904237E-05 , 1.957084E-02 ,-0.1166918 , 20.94572 , 5.983936 , 3.987131E-03 , 16.95765 , 0.2964131 , 41.61679 , 16.72487 , 16.44667 , 16.29953 , 16.10956 , 16.98253 , 16.15936 , 16.39228 , 16.23627 , 16.01217 , 4.989 , 290.1077 , 10.54434 , 0 , 68.00284 , 0 , 0 , 0.2094893 , 0.2094893 , 0 , 0 
00:00:06,6.003, 5.519265E-05 , 2.024802E-02 ,-8.134183E-02 , 20.9463 , 5.966509 , 3.098222E-03 , 16.97674 , 0.2912451 , 41.50928 , 16.68516 , 16.42503 , 16.30738 , 16.09012 , 16.98816 , 16.13992 , 16.3887 , 16.24615 , 16.0132 , 6.003 , 290.1267 , 10.45236 , 0 , 68.00284 , 0 , 0 , 0.209485 , 0.209485 , 0 , 0 
00:00:07,7.001, 4.503672E-05 , 2.012332E-02 ,-6.043236E-02 , 20.9464 , 6.010411 , 4.17232E-03 , 16.98399 , 0.2970788 , 41.58716 , 16.6561 , 16.45016 , 16.33935 , 16.10401 , 17.03595 , 16.22169 , 16.35059 , 16.2488 , 16.07911 , 7.001 , 290.134 , 10.55665 , 0 , 68.00284 , 0 , 0 , 0.2094799 , 0.2094799 , 0 , 0 
00:00:08,7.999, 9.974575E-06 , 2.010911E-02 ,-0.1058963 , 20.94597 , 6.02696 , 5.624207E-03 , 17.02521 , 0.3114304 , 41.51687 , 16.69513 , 16.42135 , 16.30831 , 16.05268 , 17.05912 , 16.17257 , 16.31513 , 16.26977 , 16.03221 , 7.999 , 290.1752 , 10.8094 , 0 , 68.00284 , 0 , 0 , 0.2094801 , 0.2094801 , 0 , 0 
00:00:09,8.998, 3.923333E-05 , 2.014384E-02 ,-5.182585E-02 , 20.94587 , 5.922692 , 1.17225E-03 , 16.89273 , 0.3219431 , 41.51111 , 16.56481 , 16.2956 , 16.25946 , 15.9494 , 16.95834 , 16.11228 , 16.21649 , 16.1191 , 15.96969 , 8.998 , 290.0427 , 10.98782 , 0 , 68.00284 , 0 , 0 , 0.209483 , 0.209483 , 0 , 0 
00:00:10,9.996,-6.474405E-05 , 1.981393E-02 ,-0.1100891 , 20.94629 , 5.953867 , 1.535222E-03 , 16.93052 , 0.3123398 , 41.50607 , 16.57994 , 16.23827 , 16.24288 , 15.93742 , 16.97346 , 16.11838 , 16.29267 , 16.12742 , 15.95772 , 9.996 , 290.0805 , 10.82341 , 0 , 68.00284 , 0 , 0 , 0.2094834 , 0.2094834 , 0 , 0 
00:00:11,10.995, 2.327401E-05 , 1.992443E-02 ,-7.690334E-02 , 20.94608 , 5.9649 , 2.572283E-03 , 16.89388 , 0.325772 , 41.53878 , 16.61352 , 16.24696 , 16.19256 , 15.91882 , 16.991 , 16.09978 , 16.23331 , 16.14294 , 15.88044 , 10.995 , 290.0439 , 11.05299 , 0 , 68.00284 , 0 , 0 , 0.2094907 , 0.2094907 , 0 , 0 
00:00:12,11.993, 3.22209E-05 , 2.017699E-02 ,-4.499773E-02 , 20.94503 , 5.998958 , 3.261188E-03 , 16.94319 , 0.3218692 , 41.56506 , 16.57473 , 16.26016 , 16.25112 , 15.96836 , 17.02243 , 16.12441 , 16.23526 , 16.12903 , 15.98644 , 11.993 , 290.0932 , 10.98752 , 0 , 68.00284 , 0 , 0 , 0.2094907 , 0.2094907 , 0 , 0 
00:00:13,12.991, 2.569208E-05 , 2.021014E-02 ,-0.1314494 , 20.94536 , 6.008353 , 2.742658E-03 , 16.94344 , 0.3467122 , 41.60539 , 16.52059 , 16.17889 , 16.24012 , 15.93227 , 17.0634 , 16.16986 , 16.24012 , 16.09756 , 15.93227 , 12.991 , 290.0934 , 11.40367 , 0 , 68.00284 , 0 , 0 , 0.2094762 , 0.2094762 , 0 , 0 
00:00:14,13.99, 2.351581E-05 , 1.979025E-02 ,-2.306312E-02 , 20.94507 , 5.989127 , 4.261212E-03 , 16.9086 , 0.3378893 , 41.57541 , 16.54455 , 16.19622 , 16.24362 , 15.94941 , 17.09177 , 16.13498 , 16.2414 , 16.12373 , 15.92451 , 13.99 , 290.0586 , 11.25696 , 0 , 68.00284 , 0 , 0 , 0.2094508 , 0.2094508 , 3.172097 , 1.584462E-03 
00:00:15,14.988,-4.636665E-05 , 1.943193E-02 ,-8.269034E-02 , 20.94395 , 6.029056 , 3.994539E-03 , 16.95947 , 0.3454743 , 41.60304 , 16.49127 , 16.15196 , 16.23791 , 15.92784 , 17.11536 , 16.1586 , 16.21744 , 16.11563 , 15.91197 , 14.988 , 290.1095 , 11.38361 , 0 , 68.00284 , 0 , 0 , 0.2094481 , 0.2094481 , 4.450544 , 5.38816E-03 
00:00:16,16.002,-4.902654E-05 , 1.954874E-02 ,-5.990239E-02 , 20.94372 , 5.993694 , 4.631591E-03 , 16.91532 , 0.3651532 , 41.59518 , 16.42461 , 16.12143 , 16.20959 , 15.92442 , 17.1007 , 16.16219 , 16.25717 , 16.10778 , 15.90412 , 16.002 , 290.0653 , 11.70244 , 0 , 68.00284 , 0 , 0 , 0.2094612 , 0.2094612 , 0 , 7.644588E-03 
00:00:17,17.001,-7.296551E-05 , 1.950928E-02 ,-2.996963E-02 , 20.94377 , 6.057449 , 5.801989E-03 , 16.99636 , 0.3762944 , 41.63034 , 16.45831 , 16.14831 , 16.26377 , 16.00112 , 17.17049 , 16.17321 , 16.2704 , 16.18446 , 15.94227 , 17.001 , 290.1464 , 11.88129 , 0 , 68.00284 , 0 , 0 , 0.2094663 , 0.2094663 , 0 , 7.644588E-03 
00:00:18,17.999,-2.266948E-05 , 2.037904E-02 ,-7.962348E-02 , 20.94431 , 6.030407 , 5.261235E-03 , 16.95399 , 0.3661909 , 41.62855 , 16.47232 , 16.16695 , 16.25731 , 16.01754 , 17.20255 , 16.17598 , 16.21656 , 16.21896 , 15.936 , 17.999 , 290.104 , 11.71984 , 0 , 68.00284 , 0 , 0 , 0.2094657 , 0.2094657 , 0 , 7.644588E-03 
00:00:19,18.997,-2.532937E-05 , 1.991653E-02 ,-3.256848E-02 , 20.9432 , 6.0344 , 4.535292E-03 , 16.93305 , 0.3649892 , 41.60136 , 16.39035 , 16.11648 , 16.21387 , 16.00562 , 17.15454 , 16.15725 , 16.17753 , 16.1685 , 15.86302 , 18.997 , 290.083 , 11.70017 , 0 , 68.00284 , 0 , 0 , 0.2094653 , 0.2094653 , 0 , 7.644588E-03 
00:00:20,19.996, 7.2361E-05 , 2.022592E-02 ,-0.1214398 , 20.94381 , 6.01265 , 3.261188E-03 , 16.94087 , 0.370149 , 41.61569 , 16.3777 , 16.08133 , 16.26005 , 16.01566 , 17.13969 , 16.14017 , 16.18757 , 16.12873 , 15.86623 , 19.996 , 290.0909 , 11.78274 , 0 , 68.00284 , 0 , 0 , 0.2094653 , 0.2094653 , 0 , 7.644588E-03 
00:00:21,20.994, 2.641751E-05 , 0.0202938 ,-6.569488E-02 , 20.9436 , 5.996712 , 3.62416E-03 , 16.94558 , 0.368465 , 41.62049 , 16.38702 , 16.10873 , 16.23304 , 16.01134 , 17.14901 , 16.1222 , 16.18103 , 16.15392 , 15.85748 , 20.994 , 290.0956 , 11.756 , 0 , 68.00284 , 0 , 0 , 0.2094648 , 0.2094648 , 0 , 7.644588E-03 
00:00:22,21.993, 8.590223E-05 , 2.052584E-02 ,-7.020867E-02 , 20.94338 , 6.002091 , 5.172343E-03 , 16.93946 , 0.4287723 , 41.66324 , 16.40359 , 16.12069 , 16.24961 , 16.01204 , 17.14529 , 16.11386 , 16.17731 , 16.16588 , 15.85597 , 21.993 , 290.0895 , 12.68149 , 0 , 68.00284 , 0 , 0 , 0.2094695 , 0.2094695 , 0 , 7.644588E-03 
00:00:23,22.991, 1.601977E-05 , 1.981867E-02 ,-0.1269361 , 20.94287 , 6.059254 , 5.357534E-03 , 16.94176 , 0.3952244 , 41.66098 , 16.44423 , 16.15471 , 16.175 , 15.98722 , 17.19954 , 16.12298 , 16.13423 , 16.14106 , 15.81066 , 22.991 , 290.0918 , 12.17533 , 0 , 68.00284 , 0 , 0 , 0.2094683 , 0.2094683 , 0 , 7.644588E-03 
00:00:24,23.989,-1.057909E-05 , 1.993548E-02 ,-3.213884E-02 , 20.94289 , 6.056769 , 4.261212E-03 , 16.92345 , 0.3369929 , 41.62535 , 16.46667 , 16.19504 , 16.22898 , 15.9665 , 17.16982 , 16.10005 , 16.15428 , 16.12717 , 15.79234 , 23.989 , 290.0735 , 11.2423 , 0 , 68.00284 , 0 , 0 , 0.2095 , 0.2095 , 0 , 7.644588E-03 
00:00:25,24.988,-3.808473E-06 , 1.959294E-02 ,-0.1075472 , 20.94318 , 6.031827 , 4.009353E-03 , 16.93512 , 0.3818277 , 41.65466 , 16.55301 , 16.2543 , 16.27016 , 15.94423 , 17.21317 , 16.02798 , 16.2294 , 16.10269 , 15.80844 , 24.988 , 290.0851 , 11.96706 , 0 , 68.00284 , 0 , 0 , 0.2095 , 0.2095 , 0 , 7.644588E-03 
00:00:26,25.986,-6.710167E-06 , 2.013595E-02 ,-5.365429E-02 , 20.94322 , 6.004201 , 4.261212E-03 , 16.91888 , 0.3543389 , 41.60769 , 16.52312 , 16.28784 , 16.31274 , 15.90769 , 17.16304 , 16.01192 , 16.23362 , 16.02538 , 15.8195 , 25.986 , 290.0689 , 11.52792 , 0 , 68.00284 , 0 , 0 , 0.2095 , 0.2095 , 0 , 7.644588E-03 
00:00:27,27, 7.07288E-06 , 1.987707E-02 ,-0.0376935 , 20.94395 , 6.014338 , 4.535292E-03 , 16.91323 , 0.3589861 , 41.60649 , 16.58071 , 16.32515 , 16.3139 , 15.90646 , 17.21156 , 16.01733 , 16.18942 , 16.00607 , 15.75258 , 27 , 290.0632 , 11.60316 , 0 , 68.00284 , 0 , 0 , 0.2095 , 0.2095 , 0 , 7.644588E-03 
00:00:28,27.999, 2.90774E-05 , 1.990391E-02 ,-0.1175973 , 20.9425 , 6.006992 , 3.075998E-03 , 16.90358 , 0.3996624 , 41.5992 , 16.59151 , 16.31789 , 16.34279 , 15.85842 , 17.20209 , 16.02371 , 16.15043 , 15.98516 , 15.79956 , 27.999 , 290.0536 , 12.24269 , 0 , 68.00284 , 0 , 0 , 0.2095 , 0.2095 , 0 , 7.644588E-03 
