Time,Elapsed Time,1TC2,1TC3,1TC4,1TC5,1TC6,1TC7,1TC1,2TC1,2TC2,2TC3,2TC4,2TC5,2TC6,2TC7,3TC1,3TC2,3TC3,3TC4,3TC5,3TC6,3TC7,4TC1,4TC2,4TC3,4TC4,4TC5,4TC6,4TC7,BDP11T,BDP12T,BDP13T,BDP14T,BDP15T,BDP21T,BDP22T,BDP23T,BDP24T,BDP25T,BDP31T,BDP32T,BDP33T,BDP34T,BDP35T,BDP41T,BDP42T,BDP43T,BDP44T,BDP45T,BDP11V,BDP12V,BDP13V,BDP14V,BDP15V,BDP21V,BDP22V,BDP23V,BDP24V,BDP25V,BDP31V,BDP32V,BDP33V,BDP34V,BDP35V,BDP41V,BDP42V,BDP43V,BDP44V,BDP45V,PT11V,PT14V,PT17V,PT21V,PT24V,PT27V,BDP11Flow,BDP12Flow,BDP13Flow,BDP14Flow,BDP15Flow,Total1BDPFlow,BDP21Flow,BDP22Flow,BDP23Flow,BDP24Flow,BDP25Flow,TotalBDP2Flow,BDP31Flow,BDP32Flow,BDP33Flow,BDP34Flow,BDP35Flow,Total3BDPFlow,BDP41Flow,BDP42Flow,BDP43Flow,BDP44Flow,BDP45Flow,Total4BDPFlow,PT11,PT14,PT17,PT21,PT24,PT27
2017-03-13 08:34:01,00:00:01,16.06154393,16.0744695,16.44726952,16.40946335,16.42996377,16.8657282,16.41731143,16.55264145,16.59799583,16.56175335,16.5985222,16.91291641,16.81151941,16.4926539,17.53306591,17.4386706,16.99482475,16.68117744,16.85192073,16.87567048,16.66865133,17.79819191,17.83275277,17.82087364,17.78879459,17.63071314,17.62936903,16.98146573,14.28046512,17.38934764,16.18475736,17.03280326,17.50150821,11.42177477,14.61566348,15.62063257,15.01121905,15.89276795,10.79543952,14.4910989,14.08634274,15.32436532,14.52361333,16.47959421,17.44780164,17.13317835,16.49425274,16.52839889,2.573463456,2.567296592,2.486920462,2.20044091,2.642083633,2.44187018,2.518078405,2.474339748,2.503228911,2.604068355,2.537339051,2.599988378,2.602791896,2.606857737,2.577122953,2.463175991,2.481933788,2.528805492,2.527278529,2.409764245,2.472389098,2.423608236,2.424242543,2.601074146,2.549025778,2.563211248,-493.1795046,472.0259549,-208.096872,-995.8882168,-685.8693084,-1911.007947,-438.7012085,-244.6523569,-291.4739841,-103.3944883,586.9872761,-491.2347617,351.6017127,575.3658802,583.3762981,594.8018761,505.3138104,2610.459577,-349.1683545,-244.5698348,308.8211195,-300.5244557,-546.5862093,-1132.027735,-1.390299012,-3.820073788,-3.788478952,5.019503226,2.426974007,3.133552279
2017-03-13 08:34:02,00:00:02,15.98537534,16.0744695,16.37111781,16.40946335,16.125232,16.82767197,16.41731143,16.70488186,16.67413227,16.56175335,16.56045474,17.10317427,16.77345448,16.26419355,17.456996,17.4386706,17.03288329,16.83340789,16.85192073,16.989846,16.70673474,17.45568772,18.2510102,18.23908274,18.28313201,17.82090126,17.62936903,17.36194571,11.99073284,17.73182668,15.91822276,17.22303776,17.80584536,9.893372334,14.69191775,15.92537185,15.23991445,16.46398516,10.3368812,14.52922022,14.04821013,15.2862578,14.56175527,16.66995594,17.59997609,17.13317835,16.68457074,16.56646488,2.58658786,2.563939344,2.488293978,2.203035148,2.642236235,2.442022779,2.521130664,2.476781326,2.505823027,2.601474239,2.539017636,2.596936334,2.606454262,2.606552526,2.571934478,2.464091604,2.482391584,2.528195098,2.530025305,2.410222052,2.478951147,2.428338682,2.430041154,2.595580853,2.571302566,2.560311807,-535.4240146,460.1012687,-196.8674937,-991.5665514,-686.237532,-1949.994323,-438.1250052,-264.5001455,-277.260528,-138.8493144,579.625181,-539.1098121,359.4179968,566.5165977,593.6778838,593.9518197,488.0203048,2601.584603,-344.8000691,-241.4512654,305.5316074,-315.2920739,-545.1979073,-1141.209708,-1.063443387,-3.584450255,-3.499650106,4.745882311,3.536580807,2.989131086
2017-03-13 08:34:03,00:00:03,16.02346016,16.11254351,16.48534377,16.48561051,16.39187606,16.78961464,16.30309042,16.59070318,16.67413227,16.48561051,16.48431659,16.64650931,16.73538845,16.22611306,17.22875942,17.13426586,16.84257958,16.68117744,16.73773328,16.87567048,16.59248125,17.37956329,18.13695374,18.20106946,18.3591667,17.7828659,17.70542398,17.36194571,12.0289211,17.69377797,15.88014215,17.2991238,17.6917274,10.23736498,14.69191775,15.81110248,15.27802679,16.27360612,10.79543952,14.4910989,13.97194204,15.43868171,14.44732649,16.44151861,17.37170769,16.86679075,16.30390773,16.52839889,2.575599987,2.558293063,2.471811782,2.195710242,2.6397946,2.441412384,2.519146696,2.476781326,2.506280812,2.614139628,2.534897473,2.603498228,2.604317882,2.605942103,2.57208708,2.463939002,2.481323394,2.53231526,2.530025305,2.410527256,2.478798541,2.430322417,2.43294046,2.575591371,2.551619651,2.540626123,-500.299654,439.3167676,-305.4943318,-1003.720999,-680.3220398,-2050.520257,-440.4252955,-251.777121,-277.260528,-144.2039776,614.7344737,-498.9324483,339.9118729,585.377197,587.6905709,592.2480465,488.537675,2593.765362,-345.5319517,-248.6670965,327.0944484,-315.2920739,-544.2704053,-1126.667079,-1.071044681,-3.485640386,-3.355235682,3.750206204,2.556174798,2.008587194
2017-03-13 08:34:04,00:00:04,16.06154393,16.03639442,16.40919421,16.37138815,16.39187606,16.82767197,16.34116516,16.74293924,16.67413227,16.59982315,16.48431659,16.95097018,16.88764598,16.41650475,17.22875942,17.28647715,17.03288329,16.60505568,16.81385934,16.91373009,16.74481706,17.79819191,17.87078188,18.12503945,18.20709271,17.85893548,17.66739707,17.24781338,14.12791992,17.46546197,16.29897052,17.07085237,17.72976785,12.56725064,14.7300434,15.23961498,15.08745491,15.70230927,12.05590245,14.52922022,14.27699134,15.17192912,14.79058611,16.86029046,17.40975522,17.05707312,16.87486153,16.79483799,2.576210424,2.569280421,2.489057043,2.210054849,2.65993809,2.444922153,2.523877697,2.473576755,2.504907457,2.614750008,2.537186453,2.600293582,2.60889584,2.610215064,2.572392285,2.465465024,2.482238986,2.529263288,2.529567509,2.410527256,2.478340724,2.430017227,2.43233008,2.571013627,2.544448356,2.546425007,-502.3154454,478.9328225,-190.3429071,-979.7770626,-727.6881378,-1921.19073,-427.0294446,-281.1677845,-295.7756487,-127.4669448,616.3759782,-515.0638444,350.8825077,576.2433342,600.4474271,604.0735527,489.5707753,2621.217597,-338.141848,-242.4952448,311.2654405,-312.879212,-544.2704053,-1126.52127,-1.093848561,-3.500841905,-3.385638719,3.522188774,2.198972609,2.297429581
2017-03-13 08:34:05,00:00:05,16.06154393,16.03639442,16.52341693,16.37138815,16.3156974,16.8657282,16.37923884,16.74293924,16.59799583,16.52368247,16.48431659,16.87486153,16.81151941,16.22611306,17.30484275,17.21037372,16.95676511,16.71923669,16.81385934,16.83760977,16.66865133,17.64597912,18.02288694,18.12503945,18.05500031,17.85893548,17.62936903,17.05757059,15.30973215,17.23710556,16.52736787,17.18499308,17.50150821,12.94890496,14.69191775,15.43013666,15.12557132,15.62611847,12.28498211,14.60545991,14.27699134,15.24814926,14.71431314,17.01253835,17.48584694,17.13317835,16.91291641,16.71871798,2.585366985,2.568059603,2.486157397,2.204866374,2.656580842,2.45300988,2.522962019,2.480901489,2.504144481,2.601626834,2.538102044,2.606855477,2.607217256,2.604416045,2.571781876,2.463633798,2.480865598,2.528347696,2.526668135,2.410374654,2.475441214,2.425897161,2.428057419,2.577727652,2.545821583,2.546425007,-531.6359184,474.6943356,-214.08105,-988.5045885,-720.0102091,-1979.53743,-394.432436,-275.7238794,251.4601068,-117.1397895,580.0608319,44.22483368,355.1758935,594.7955846,595.8016286,587.9670142,487.5023855,2621.242506,-346.9910859,-251.6962762,306.3572968,-297.1431099,-544.7343537,-1134.207529,-1.23827314,-3.706062401,-3.598459974,3.856614337,2.267373028,2.297429581
2017-03-13 08:34:06,00:00:06,16.17578886,16.22675917,16.37111781,16.56175335,16.39187606,16.94183738,16.2650146,16.74293924,16.71219886,16.59982315,16.52238621,16.91291641,16.84958324,16.37842856,17.22875942,17.05815356,17.14705229,16.60505568,16.81385934,16.87567048,16.66865133,17.95038652,18.02288694,18.04900485,18.1310488,17.85893548,17.74344976,17.24781338,13.59389122,17.57962504,16.18475736,17.10890038,17.61564311,12.22368719,14.76816805,15.39203438,15.12557132,15.47372441,13.12467407,14.64357828,14.353244,15.0957049,14.8287211,16.93641661,17.29560926,17.1712293,16.95097018,16.68065633,2.586435251,2.567601797,2.484631268,2.203950761,2.656275637,2.453315077,2.52876131,2.490210005,2.501397771,2.595065247,2.544663785,2.600903991,2.603554889,2.60639992,2.568119423,2.469432681,2.483001979,2.527279506,2.526820733,2.409611643,2.477425089,2.428949062,2.43110932,2.586425365,2.562910625,2.538642295,-534.9519695,473.0951132,-225.57365,-990.0367537,-719.3081517,-1996.775412,-393.1494451,-308.5841944,180.0365068,-68.02793584,561.0224415,-28.70262708,384.5449433,577.9942459,585.537408,593.5263349,474.9029028,2616.505835,-318.1251586,-237.2294096,300.5298354,-297.9920434,-547.0481937,-1099.86497,-1.139456323,-3.554047219,-3.446444792,4.289847452,3.118578245,1.909772694
2017-03-13 08:34:07,00:00:07,16.09962664,16.0744695,16.44726952,16.40946335,16.27760646,16.7134967,16.41731143,16.74293924,16.71219886,16.59982315,16.5985222,16.83680556,16.81151941,16.26419355,17.41895936,17.36257611,16.80451554,16.83340789,17.2705233,17.02790231,16.97328798,17.72208778,17.98486239,18.01098583,18.1310488,17.85893548,17.81949792,17.09562136,14.85237013,17.46546197,16.41317404,17.10890038,17.463461,12.52908037,14.69191775,15.20150757,14.89685768,15.43562331,12.01771956,14.4910989,14.2007348,15.2100397,14.59989622,16.89835408,17.40975522,17.1712293,16.87486153,16.6425936,2.578499564,2.566686183,2.485852171,2.204866374,2.654597013,2.456977444,2.555621186,2.485784645,2.501245176,2.601626834,2.538407242,2.603345626,2.61225301,2.607010343,2.570866263,2.468364466,2.489258522,2.529873683,2.528194121,2.407780417,2.478645935,2.428796467,2.430193749,2.599548232,2.571607727,2.548561437,-509.8036803,469.8803401,-216.4283971,-988.5045885,-715.4345217,-1960.290847,-377.4135155,-429.1305814,216.9442768,-64.20733376,580.0608319,-73.74632187,356.5955351,584.9454853,609.6328214,595.2264491,484.3832405,2630.783531,-323.6360777,-188.5824887,314.4949843,-305.5263158,-552.5618794,-1055.811777,-1.078645974,-3.561647978,-3.492049347,4.943497416,3.5517809,2.403845197
2017-03-13 08:34:08,00:00:08,16.06154393,16.03639442,16.25688218,16.37138815,16.27760646,16.78961464,16.34116516,16.66682339,16.75026436,16.56175335,16.48431659,16.95097018,16.69732134,16.26419355,17.22875942,17.13426586,16.95676511,16.6431171,16.88998102,16.91373009,16.74481706,17.60792309,18.06091035,18.16305503,18.20709271,17.85893548,17.7814744,17.09562136,15.08106939,17.42740536,16.37510728,16.99475304,17.5395543,12.30004063,14.7300434,15.54443732,15.01121905,15.77849589,12.66671301,14.52922022,14.31511816,15.17192912,14.75245012,16.89835408,17.44780164,17.05707312,17.10317427,16.83289636,2.568732566,2.562871129,2.482342074,2.203798159,2.659022477,2.469643129,2.553331992,2.479528102,2.522150697,2.597659363,2.540848819,2.606092466,2.607217256,2.607010343,2.571171467,2.467448853,2.485901352,2.532925655,2.530177903,2.409916848,2.475441214,2.425134186,2.427294443,2.580779481,2.570844824,2.555581138,-477.0354143,456.2416938,-241.7904775,-990.291884,-725.6022145,-1978.478296,-317.0281629,-420.2069638,-260.3444967,-270.8089644,568.6254406,-699.7631472,367.7554333,592.6681849,595.8016286,595.2264491,485.4251824,2636.876878,-328.2860992,-216.0518901,330.1691974,-316.0922683,-546.1238341,-1076.384894,-1.23827314,-3.744066196,-3.63646377,4.008625957,3.513780668,2.753496507
2017-03-13 08:34:09,00:00:09,16.09962664,15.99831828,16.44726952,16.40946335,16.27760646,16.90378334,16.34116516,16.74293924,16.75026436,16.52368247,16.44624589,16.91291641,16.65925313,16.18803151,17.11462611,17.02009575,16.88064252,16.68117744,16.77579685,16.91373009,16.70673474,17.72208778,18.09893262,18.12503945,18.1310488,17.85893548,17.70542398,17.09562136,14.28046512,17.35128879,16.33703944,17.14694728,17.42541266,12.64358855,14.76816805,15.39203438,15.12557132,15.47372441,12.66671301,14.45297659,14.16260508,15.05759127,14.67617516,16.74609303,17.40975522,17.20927914,16.68457074,16.41419444,2.58429872,2.57340068,2.495008947,2.20456117,2.651697571,2.456672246,2.547227475,2.48303787,2.505823027,2.605899495,2.536118262,2.606245068,2.608132847,2.608536401,2.571476672,2.475078962,2.486359148,2.529873683,2.529567509,2.414494914,2.467658319,2.418725194,2.418749121,2.568724755,2.550246424,2.538031886,-528.2990533,492.9687448,-128.5480353,-989.0155739,-708.6938381,-1861.587756,-378.7498146,-395.4273511,236.9788232,-138.8493144,592.1289407,-83.91871615,345.8061926,593.0942753,598.3401723,599.4556401,486.4648927,2623.161173,-287.2449502,-212.5152433,314.4949843,-312.879212,-532.0657678,-1030.210189,-1.625939114,-4.063298079,-4.06210628,3.40818006,2.487774379,1.879368232
2017-03-13 08:34:10,00:00:10,16.13770828,16.26482893,16.52341693,16.52368247,16.35378727,17.17013846,16.34116516,16.89515784,16.82639207,16.63789186,16.48431659,16.83680556,16.77345448,16.22611306,17.15267166,16.98203683,17.07094073,16.56699317,16.66160285,16.989846,16.70673474,17.64597912,18.21299253,18.23908274,18.24511294,17.74482941,17.7814744,17.01951871,14.50925374,17.35128879,16.26090054,17.18499308,17.34931263,12.68175619,14.8062917,15.46823792,15.12557132,15.54992352,12.55220284,14.64357828,14.39136887,15.17192912,14.79058611,16.78415993,17.29560926,17.09512629,17.0651249,16.79483799,2.585366985,2.572485067,2.489057043,2.207155407,2.659480283,2.443396167,2.530134827,2.481359285,2.506738597,2.600406074,2.537033854,2.604871648,2.610727024,2.604721256,2.57208708,2.475078962,2.489411121,2.532925655,2.530788298,2.409001234,2.477577695,2.426965326,2.429888559,2.576354329,2.552535135,2.54108393,-531.6359184,489.8844059,-190.3429071,-984.6637451,-726.6459246,-1943.404089,-432.9046644,-315.8665907,248.4280474,-149.3668042,576.5664073,-73.1436046,350.1618254,589.2483696,605.4749169,588.8257107,488.537675,2622.248498,-287.2449502,-187.2381502,330.1691974,-319.2729911,-548.8922429,-1012.479137,-1.131855029,-3.652857087,-3.507250865,3.788209108,2.601775078,2.031390541
2017-03-13 08:34:11,00:00:11,16.13770828,16.03639442,16.37111781,16.40946335,16.27760646,16.82767197,16.41731143,16.81905073,16.67413227,16.52368247,16.44624589,16.83680556,16.62118384,16.22611306,17.15267166,17.13426586,17.03288329,16.68117744,16.85192073,17.02790231,16.82097842,17.98843233,18.02288694,18.23908274,18.09302513,17.93500051,17.8575203,17.01951871,15.30973215,17.16097783,16.52736787,16.9186493,17.31126094,12.07097014,14.69191775,15.50633813,15.16368672,15.77849589,12.20862561,14.52922022,14.23886356,15.2100397,14.75245012,16.78415993,17.40975522,17.13317835,16.83680556,16.68065633,2.579262611,2.567907001,2.487683526,2.207918418,2.659632886,2.459876818,2.526014278,2.480443693,2.50078739,2.596133413,2.534439677,2.603650831,2.609353636,2.609757247,2.572544887,2.472179521,2.484833162,2.531094471,2.531703889,2.4135793,2.474983396,2.425286781,2.427752229,2.574218048,2.549025778,2.53696367,-512.2754347,474.1618608,-201.935436,-983.3801304,-726.993495,-1950.422635,-364.4743998,-293.4777827,254.4560391,-51.05807153,564.1654972,109.6112824,337.674978,585.8085906,601.7082377,602.8176303,490.0865087,2618.095945,-303.4950741,-224.0871048,320.8565671,-323.9855305,-534.906939,-1065.618081,-1.261077021,-3.736465437,-3.613661492,3.681800975,2.426974007,1.826160424
