Time,Event
2017-03-13-09:51:00,Ignition
2017-03-13-09:57:00,Hall Door Closed
2017-03-13-09:57:31,Hall Door Open
2017-03-13-09:58:30,Hall Door Closed
2017-03-13-09:59:31,Hall Door Open
2017-03-13-10:09:00,Torch Re-Ignition
2017-03-13-10:14:15,Hall Door Closed
2017-03-13-10:14:45,Hall Door Open
2017-03-13-10:17:16,Hall Door Closed
2017-03-13-10:17:45,Hall Door Open
2017-03-13-10:18:30,Window Vent
2017-03-13-10:21:00,Suppression
