Time,Event
2017-03-13-08:36:00,Ignition
2017-03-13-08:40:31,Hall Door Closed
2017-03-13-08:41:01,Hall Door Open
2017-03-13-08:42:01,Hall Door Closed
2017-03-13-08:43:01,Hall Door Open
2017-03-13-08:44:00,Hall Door Closed
2017-03-13-08:45:01,Hall Door Open
2017-03-13-08:47:01,Suppression
2017-03-13-08:47:15,Nozzle Off
2017-03-13-08:51:15,Full Suppression
